artista,cancion,duracion_ms,explicito,anio,popularidad,bailable,energia,clave,volumen,modo,locuacidad,acusticidad,instrumentalidad,vivisidad,valencia emocional,tempo,genero_principal_Dance/Electronic,genero_principal_Folk/Acoustic,genero_principal_R&B,genero_principal_World/Traditional,genero_principal_country,genero_principal_easy listening,genero_principal_hip hop,genero_principal_latin,genero_principal_metal,genero_principal_pop,genero_principal_rock,genero_principal_set(),fecha_lanzamiento,Followers,dia_semana,TOP50_2019-2020,inflation,unemployment,gdp_per_capita,gross_savings,crecimiento_renta_neta,consumption_expenditure
Imagine Dragons,Demons,177506,0,2012,81,0.505,0.71,3,-3.015,1,0.0321,0.19,0.00025,0.269,0.428,89.938,0,0,0,0,0,0,0,0,0,0,1,0,2012-09-04,54367178,Tuesday,no,2.069337265,8.069,51784,18.13,3.85,83.44
One Direction,One Way or Another (Teenage Kicks),157293,0,2013,66,0.489,0.867,4,-3.121,0,0.071,0.025,0.0,0.586,0.409,162.131,0,0,0,0,0,0,0,0,0,1,0,0,2013-02-17,36302530,Sunday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Taylor Swift,I Knew You Were Trouble.,219720,0,2012,76,0.622,0.469,3,-6.798,0,0.0363,0.00454,2.25e-06,0.0335,0.679,77.019,0,0,0,0,0,0,0,0,0,1,0,0,2012-10-22,120903886,Monday,sí,2.069337265,8.069,51784,18.13,3.85,83.44
Arctic Monkeys,Do I Wanna Know?,272394,0,2013,84,0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,0,0,0,0,0,0,0,0,0,0,1,0,2013-09-09,26383564,Monday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Rudimental,Waiting All Night (feat. Ella Eyre),292586,0,2013,66,0.544,0.728,6,-5.358,0,0.05,0.00264,0.00959,0.427,0.281,174.983,0,0,0,0,0,0,0,0,0,1,0,0,2013-04-29,1374382,Monday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Klangkarussell,Sonnentanz - Sun Don't Shine,238120,0,2014,68,0.579,0.549,5,-8.262,0,0.0909,0.104,0.0202,0.0964,0.155,119.74,0,0,0,0,0,0,0,0,0,1,0,0,2013-01-01,418789,Tuesday,no,1.622222977,6.168,55304,19.64,3.35,81.99
Calvin Harris,Drinking from the Bottle (feat. Tinie Tempah),240346,0,2012,61,0.665,0.886,9,-4.175,0,0.0514,0.0469,6.24e-05,0.0525,0.53,128.062,0,0,0,0,0,0,1,0,0,0,0,0,2012-10-29,22833621,Monday,no,2.069337265,8.069,51784,18.13,3.85,83.44
A$AP Rocky,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",233786,1,2013,76,0.853,0.693,1,-6.87,1,0.275,0.0239,0.0,0.11,0.662,95.967,0,0,0,0,0,0,1,0,0,0,0,0,2013-01-01,14849138,Tuesday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Ylvis,The Fox (What Does the Fox Say?),213708,0,2013,63,0.703,0.867,6,-4.292,1,0.0453,0.107,0.0,0.119,0.546,128.008,0,0,0,0,0,0,1,0,0,0,0,0,2013-09-02,169939,Monday,no,1.464832656,7.375,53410,18.64,1.41,82.46
Ellie Goulding,Burn,231211,0,2014,70,0.559,0.777,1,-5.031,1,0.0432,0.31,0.0,0.105,0.329,87.016,0,0,0,0,0,0,0,0,0,1,0,0,2015-09-25,12527164,Friday,no,1.622222977,6.168,55304,19.64,3.35,81.99
